epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8143,1.52109,2.82006,1.67497,0.84694,0.20244,0.20712,0.09597,1.58966,5.40561,2.42288,0.000470304,0.000470304,0.000470304
2,51.7441,1.64219,1.88214,1.77114,0.8451,0.1875,0.21034,0.11814,1.56077,10.0427,2.01536,0.000937265,0.000937265,0.000937265
3,63.4919,1.69611,1.99914,1.80989,0.49267,0.22917,0.19301,0.09686,1.601,13.948,1.94855,0.0013948,0.0013948,0.0013948
4,75.0138,1.62003,1.87694,1.76564,0.86041,0.18229,0.18332,0.08866,1.79361,2.84799,2.03899,0.00138656,0.00138656,0.00138656
5,86.3642,1.62178,1.84149,1.76675,0.83737,0.16146,0.16915,0.09247,1.6631,5.33328,1.94829,0.00137241,0.00137241,0.00137241
6,97.8824,1.56608,1.74325,1.70887,0.89648,0.20833,0.22761,0.11843,1.54261,2.68946,1.88194,0.00135826,0.00135826,0.00135826
7,109.447,1.53162,1.72402,1.68723,0.60888,0.22396,0.25965,0.1606,1.38601,2.87405,1.66264,0.00134412,0.00134412,0.00134412
8,120.876,1.51589,1.64556,1.66688,0.56636,0.20833,0.22908,0.12737,1.46008,2.21481,1.81608,0.00132997,0.00132997,0.00132997
9,132.478,1.50627,1.62529,1.65898,0.95706,0.21138,0.27221,0.13773,1.56542,1.85593,1.76451,0.00131582,0.00131582,0.00131582
10,143.844,1.45665,1.54095,1.62929,0.96438,0.20833,0.28706,0.15742,1.52894,1.31929,1.74264,0.00130168,0.00130168,0.00130168
11,155.308,1.4173,1.47396,1.57356,0.95558,0.25,0.37418,0.20895,1.38863,1.69317,1.62881,0.00128753,0.00128753,0.00128753
12,166.866,1.40931,1.45763,1.59678,0.61953,0.22396,0.28253,0.16862,1.40393,1.45378,1.67567,0.00127338,0.00127338,0.00127338
13,178.398,1.38555,1.41677,1.55862,0.86486,0.34896,0.41248,0.25554,1.32776,1.14919,1.55685,0.00125923,0.00125923,0.00125923
14,189.893,1.35935,1.37257,1.53564,0.96478,0.22042,0.31768,0.17973,1.35887,1.23546,1.60462,0.00124509,0.00124509,0.00124509
15,201.394,1.32937,1.34701,1.52678,0.90206,0.35417,0.40829,0.2808,1.31436,1.11428,1.60381,0.00123094,0.00123094,0.00123094
16,212.962,1.3301,1.35708,1.52758,0.78896,0.35938,0.38645,0.22904,1.36874,1.45431,1.64368,0.00121679,0.00121679,0.00121679
17,224.456,1.33932,1.3073,1.52513,0.73614,0.37952,0.38366,0.21505,1.39528,1.15147,1.63654,0.00120265,0.00120265,0.00120265
18,235.887,1.29773,1.28926,1.50405,0.96016,0.26859,0.30918,0.18387,1.40522,1.18392,1.67003,0.0011885,0.0011885,0.0011885
19,247.338,1.30626,1.25787,1.49063,0.88708,0.28052,0.36389,0.23635,1.34033,1.26001,1.59813,0.00117435,0.00117435,0.00117435
20,258.939,1.2665,1.2233,1.4663,0.59979,0.47357,0.36488,0.20599,1.39121,1.03531,1.60283,0.00116021,0.00116021,0.00116021
21,270.401,1.24169,1.23391,1.45607,0.85139,0.34272,0.38692,0.24915,1.28982,1.16652,1.57904,0.00114606,0.00114606,0.00114606
22,281.897,1.21157,1.16316,1.43876,0.92299,0.36979,0.39843,0.27471,1.24174,0.96901,1.52567,0.00113191,0.00113191,0.00113191
23,293.466,1.21958,1.18054,1.4349,0.9715,0.27855,0.32646,0.21612,1.28997,1.0142,1.57034,0.00111776,0.00111776,0.00111776
24,304.945,1.19765,1.15404,1.43546,0.70282,0.36979,0.34644,0.22566,1.24837,1.04829,1.55166,0.00110362,0.00110362,0.00110362
25,316.559,1.18401,1.10403,1.41817,0.83662,0.33097,0.37714,0.2572,1.23424,1.05713,1.50553,0.00108947,0.00108947,0.00108947
26,328.006,1.20391,1.14119,1.41891,0.69557,0.34302,0.33203,0.20846,1.28731,1.15081,1.52227,0.00107532,0.00107532,0.00107532
27,339.426,1.184,1.08902,1.39935,0.66276,0.44764,0.36333,0.23334,1.22651,1.02656,1.46567,0.00106118,0.00106118,0.00106118
28,350.976,1.18179,1.08385,1.40884,0.89577,0.33652,0.43146,0.25136,1.30388,1.11066,1.60186,0.00104703,0.00104703,0.00104703
29,362.59,1.14444,1.04695,1.36325,0.84752,0.3125,0.39599,0.25028,1.3009,1.09991,1.55271,0.00103288,0.00103288,0.00103288
30,374.156,1.14771,1.06525,1.36797,0.81386,0.36027,0.42036,0.27381,1.23835,0.93035,1.46777,0.00101873,0.00101873,0.00101873
31,385.772,1.16212,1.03819,1.38459,0.93109,0.35286,0.43714,0.26423,1.27156,0.97182,1.51066,0.00100459,0.00100459,0.00100459
32,397.285,1.10205,0.96536,1.33701,0.70125,0.35417,0.3426,0.22383,1.19046,0.98721,1.4947,0.00099044,0.00099044,0.00099044
33,408.88,1.10067,0.99111,1.34549,0.80529,0.34896,0.42983,0.26226,1.25275,0.99911,1.51276,0.000976293,0.000976293,0.000976293
34,420.407,1.12704,0.99499,1.36904,0.90394,0.35938,0.38962,0.26165,1.24003,1.03206,1.5212,0.000962146,0.000962146,0.000962146
35,432.041,1.10861,0.9704,1.34284,0.89232,0.32812,0.42511,0.25951,1.23114,0.92503,1.48812,0.000947999,0.000947999,0.000947999
36,443.628,1.08907,0.94623,1.32446,0.86826,0.34013,0.3975,0.25874,1.24802,0.97434,1.47745,0.000933851,0.000933851,0.000933851
37,455.086,1.10205,0.95121,1.33625,0.7828,0.34375,0.39377,0.26079,1.25273,1.04097,1.48759,0.000919704,0.000919704,0.000919704
38,466.613,1.05455,0.94175,1.31019,0.85555,0.35528,0.39529,0.25901,1.27705,0.98027,1.54392,0.000905557,0.000905557,0.000905557
39,478.012,1.06836,0.88948,1.32143,0.82145,0.33186,0.40613,0.27233,1.21783,0.93215,1.48298,0.00089141,0.00089141,0.00089141
40,489.652,1.07439,0.92882,1.33094,0.86031,0.34262,0.41131,0.27788,1.17366,0.86053,1.46864,0.000877263,0.000877263,0.000877263
41,501.145,1.0345,0.8956,1.30377,0.89623,0.30911,0.41011,0.27215,1.30713,0.9653,1.50501,0.000863116,0.000863116,0.000863116
42,512.637,1.05367,0.86406,1.30569,0.86769,0.33333,0.40533,0.27401,1.27679,0.9618,1.48691,0.000848969,0.000848969,0.000848969
43,524.196,1.03682,0.84525,1.29908,0.86296,0.32474,0.39331,0.267,1.24898,0.92426,1.48424,0.000834822,0.000834822,0.000834822
44,535.654,1.03843,0.86903,1.30093,0.87226,0.31299,0.38128,0.26264,1.20869,0.92196,1.4631,0.000820675,0.000820675,0.000820675
45,547.06,1.01464,0.86861,1.288,0.90766,0.33331,0.39193,0.26055,1.15103,0.93731,1.48426,0.000806528,0.000806528,0.000806528
46,558.648,1.014,0.84591,1.27565,0.80156,0.34375,0.3896,0.27016,1.21374,0.89885,1.48143,0.00079238,0.00079238,0.00079238
47,570.124,1.01117,0.81514,1.28104,0.88256,0.34375,0.39721,0.2744,1.14512,0.90475,1.44542,0.000778233,0.000778233,0.000778233
48,581.808,0.98474,0.80928,1.26044,0.74063,0.38021,0.37295,0.24203,1.23103,0.88171,1.47268,0.000764086,0.000764086,0.000764086
49,593.316,0.98673,0.80581,1.26488,0.85136,0.34375,0.44456,0.28249,1.23351,0.86331,1.47139,0.000749939,0.000749939,0.000749939
50,605.049,0.9842,0.78713,1.25825,0.92994,0.34286,0.3946,0.26571,1.13065,0.92061,1.38376,0.000735792,0.000735792,0.000735792
51,616.578,0.97757,0.78278,1.25715,0.91539,0.35417,0.39139,0.25651,1.24698,0.92917,1.47946,0.000721645,0.000721645,0.000721645
52,628.246,0.97754,0.8004,1.25118,0.71587,0.36835,0.41235,0.2777,1.16335,0.89553,1.4482,0.000707498,0.000707498,0.000707498
53,639.731,0.9457,0.76428,1.22827,0.91871,0.33333,0.41212,0.2582,1.17406,0.93103,1.44222,0.000693351,0.000693351,0.000693351
54,651.228,0.92826,0.75299,1.22735,0.89682,0.34004,0.40345,0.26858,1.17294,0.87143,1.43847,0.000679204,0.000679204,0.000679204
55,662.634,0.94443,0.74208,1.23664,0.85954,0.34375,0.3899,0.25157,1.33515,1.0178,1.54081,0.000665057,0.000665057,0.000665057
56,674.246,0.93495,0.73634,1.22258,0.72857,0.34867,0.39539,0.26502,1.15668,0.93407,1.45974,0.000650909,0.000650909,0.000650909
57,685.67,0.9285,0.7223,1.21487,0.90918,0.34067,0.42232,0.27351,1.28767,0.86801,1.52333,0.000636762,0.000636762,0.000636762
58,697.231,0.90161,0.71012,1.20396,0.9026,0.35938,0.4023,0.26382,1.27806,0.87743,1.54171,0.000622615,0.000622615,0.000622615
59,708.724,0.91066,0.70635,1.19975,0.77591,0.3689,0.40011,0.25683,1.26288,0.91751,1.55663,0.000608468,0.000608468,0.000608468
60,720.353,0.91172,0.71536,1.2124,0.94213,0.35397,0.45064,0.28168,1.21669,0.83136,1.51385,0.000594321,0.000594321,0.000594321
61,731.863,0.90542,0.68981,1.19898,0.89708,0.34705,0.40595,0.28224,1.15751,0.92717,1.47174,0.000580174,0.000580174,0.000580174
62,743.458,0.88832,0.70633,1.19396,0.83418,0.32812,0.40185,0.2854,1.10893,0.87406,1.3991,0.000566027,0.000566027,0.000566027
63,755.044,0.89485,0.71168,1.18889,0.92545,0.31771,0.45627,0.28177,1.18142,0.96287,1.46231,0.00055188,0.00055188,0.00055188
64,766.619,0.88261,0.67683,1.18981,0.84646,0.43219,0.43467,0.29472,1.14807,1.00118,1.50228,0.000537733,0.000537733,0.000537733
65,778.105,0.88037,0.69963,1.19977,0.92162,0.33854,0.43488,0.29085,1.11341,0.83808,1.40248,0.000523586,0.000523586,0.000523586
66,789.639,0.88271,0.66417,1.18308,0.90161,0.33713,0.41162,0.28347,1.12913,0.84166,1.43494,0.000509438,0.000509438,0.000509438
67,801.095,0.86636,0.66749,1.17638,0.88948,0.3312,0.40131,0.27174,1.13084,0.89815,1.44242,0.000495291,0.000495291,0.000495291
68,812.691,0.85665,0.6443,1.1686,0.8479,0.34128,0.39787,0.28064,1.15069,0.9052,1.41267,0.000481144,0.000481144,0.000481144
69,824.22,0.84907,0.64547,1.15666,0.72398,0.4375,0.41175,0.28036,1.18062,0.96234,1.43316,0.000466997,0.000466997,0.000466997
